,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,35456,35160,35086,34981,34925,34596,34098,33784,33205,32719,32401,32343,32224,32260,32412,32042,32304,32504,32281,32719,32736,33269,33472,33241,33069,32764,32131,31465,31333,31277,30497,29395,28478,27783,27349,26821,26011,25290,25075,24518,24388,24222,24037,23997,23804,23796,23263,23271,23372,23526,23672,23733,23793,23812,23866,23809,23750,23737,23769,23715,23747,23616,23495,23375,23182,23149,22987,22545,22684,22729
1,39035,37144,37062,36935,36143,35644,35451,35405,34118,33727,33263,32509,32426,32295,32278,32029,32140,31766,31859,32215,32322,32469,32388,32527,32339,32022,31670,31260,30544,29995,29306,28979,28672,28429,28265,28200,28147,28022,27655,27034,26951,26933,26924,26905,26853,26844,26670,26929,27104,27169,27187,27210,27325,27454,27576,27639,27674,27346,27086,26677,26206,26211,25870,25377,25407,25071,24647,24268,25159,25477
2,11241,11029,11021,10999,10927,10894,10832,10782,10688,10613,10573,10566,10559,10597,10520,10578,10653,10597,10721,10913,11074,11201,11246,11237,11181,11152,11111,11035,10986,10817,10670,10624,10561,10502,10486,10475,10534,10529,10403,10398,10444,10348,10344,10327,10267,10225,10287,10353,10388,10636,10649,10659,10718,10723,10771,10861,10915,10880,10873,10902,10941,10710,10513,10220,10005,9840,9937,9762,9848,9979
3,7000,6977,6964,6986,6937,6909,6958,7006,6946,7020,7052,7046,7109,7161,7211,7157,7225,7358,7501,7640,7769,7849,7941,7960,7926,7869,7828,7797,7740,7689,7609,7555,7532,7469,7417,7362,7261,7211,7205,7202,7172,7123,7111,7104,7038,6898,6875,6918,6875,6822,6847,6846,6926,6951,7087,7213,7325,7352,7419,7370,7314,7243,7148,7003,6895,6801,6718,6691,6729,6819
4,48963,47248,44823,42591,41139,40120,38767,38093,37821,34467,32339,31495,31155,30972,30916,30719,30530,30243,30168,30141,30198,30322,30890,31155,31208,30970,30615,30591,30330,29971,29146,28256,27883,27542,27135,26729,26221,25699,25060,24525,24215,24147,24049,24037,23986,23969,23779,23792,23989,23789,23869,23835,24003,24067,23999,24011,24124,24022,23996,23741,23605,23496,23372,23277,22995,22948,22776,22115,21935,22190
5,17346,17268,17158,17058,17001,17057,17271,17055,17112,17152,17198,17173,17265,17509,17526,17468,17369,17506,17786,18019,18168,18496,18506,18510,18444,18497,18484,18297,17871,17576,17399,17149,16866,16514,16073,15678,15309,14993,14647,14340,14109,14086,13941,13813,13761,13673,13607,13604,13706,13656,13676,13717,13811,13840,13943,13929,13846,13769,13717,13660,13653,13633,13491,13157,13062,12980,12688,12632,12572,12802
6,16453,16410,16278,16186,16104,16069,16155,16047,16026,15942,15830,15898,16132,16153,16215,16133,16016,16166,16594,16966,17279,17547,17916,18046,18151,18184,18208,18051,17812,17530,17290,17141,17022,16922,16813,16699,16603,16599,16592,16567,16499,16432,16349,16316,16258,16183,16222,16528,16599,16752,16861,16921,17006,17068,17094,17159,17256,17305,17245,17576,17452,17357,17282,16968,16907,16798,16640,16077,16217,16416
7,15807,15323,15036,14759,14661,14514,14329,14256,14023,13949,13843,13751,13670,13768,13807,13814,13913,13889,13821,13833,13918,13972,14024,14217,14118,14060,13877,13842,13489,13255,13064,13008,12979,12728,12517,12390,12176,11945,11867,11807,11776,11716,11671,11618,11542,11508,11502,11485,11496,11523,11524,11548,11620,11761,11852,11842,11868,11860,11930,11934,11913,11870,11803,11609,11606,11614,11612,11487,11491,11636
8,9149,9113,9051,8979,8819,8709,8499,8409,8400,8260,8100,8009,7946,7835,7761,7806,7773,7893,7972,8084,8214,8283,8362,8401,8383,8326,8317,8291,8262,8200,8126,8104,7933,7800,7747,7741,7732,7710,7653,7645,7673,7654,7645,7587,7464,7460,7454,7526,7557,7562,7584,7609,7610,7640,7640,7605,7578,7602,7601,7528,7504,7452,7373,7300,7222,7100,7081,7070,7026,7187
9,7597,7647,7720,7775,7771,7718,7808,7816,7885,7918,7865,7856,7828,7911,7965,8036,8027,8039,8022,8096,8097,8118,8189,8265,8287,8269,8227,8197,8273,8244,8211,8155,8119,8116,8101,7934,7817,7733,7619,7551,7483,7444,7433,7399,7393,7341,7333,7367,7365,7389,7473,7478,7561,7629,7645,7698,7726,7753,7770,7774,7762,7738,7693,7567,7396,7293,7223,7217,7220,7177
10,14205,13428,12721,12574,12335,11998,12143,12176,12108,12066,12019,11968,11959,11953,11972,12027,11944,11988,12091,12205,12500,12530,12569,12669,12727,12691,12592,12705,12629,12582,12443,12569,12774,12693,12729,12567,12444,12135,12098,11939,11937,11972,12085,11882,11904,11502,11496,11528,11594,11726,11753,11683,11726,11771,12143,12137,12188,12229,12279,12241,12354,11871,11713,11181,10941,10869,10800,10830,10885,10931
11,10091,10084,10111,10079,10029,10088,10335,10346,10486,10598,10557,10499,10601,10660,10822,10955,11014,11119,11217,11357,11553,11798,11996,11985,11947,11825,11701,11683,11603,11506,11400,11372,11475,11575,11638,11511,11283,11101,10963,11062,11115,11146,11127,11176,11195,11086,11183,11088,11147,11229,11234,11196,11105,11034,11005,11047,11043,10939,11018,10949,10942,10937,10939,10896,10893,10899,10756,10588,10457,10744
12,22562,22243,22445,22206,21442,21397,21449,21805,21461,21546,21242,21039,20973,21152,21421,21152,20770,20836,20690,20728,20428,20365,20036,19495,19275,18942,18747,18840,18400,18153,18117,17528,17316,16740,16218,15662,15153,14665,14549,14729,15036,14884,14931,14820,14678,14467,14082,13845,13759,13772,14248,14311,14486,14764,14744,14725,14544,14536,14000,13932,13991,13970,13974,13873,13589,12966,13381,13110,13056,12966
13,6446,6417,6406,6403,6426,6511,6510,6672,6679,6691,6666,6726,6737,6722,6700,6746,6878,6895,6904,6927,7121,7254,7373,7457,7456,7400,7380,7341,7296,7271,7233,7188,7232,7170,7153,7280,7242,7108,7030,6914,6992,7045,7045,7030,7058,7056,7055,7133,7138,7175,7236,7256,7270,7380,7386,7401,7294,7255,7222,7171,7126,7064,6997,6937,6834,6757,6699,6532,6510,6615
14,6336,6290,6217,6324,6364,6311,6317,6268,6323,6364,6325,6324,6374,6394,6370,6362,6421,6473,6469,6556,6732,6818,6888,6952,7004,7010,6954,6997,6916,6867,6811,6783,6740,6802,6717,6616,6566,6500,6452,6394,6413,6352,6377,6344,6305,6364,6431,6458,6429,6462,6489,6468,6476,6598,6626,6592,6542,6374,6207,6006,5815,5674,5562,5432,5251,5075,4929,4929,4935,4997
15,12123,12013,12137,12223,12279,12168,12137,12132,12137,12270,12375,12341,12454,12512,12455,12416,12520,12723,12854,12845,13044,12991,12994,13248,13361,13357,13355,13417,13405,13316,13178,13214,13112,13063,12942,12902,12981,12840,12977,12776,12870,12736,12818,12828,12883,12891,12849,12862,12823,12836,12852,12859,12860,13156,13114,13172,13278,13467,13420,13362,13461,13428,13420,13350,13481,13531,13683,13781,13821,13881
