城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10787,0.955,0.149
北京,33784,1.744,3.255
上海,35405,3.772,9.902
天津,10782,0.879,-1.2
重庆,7006,0.864,-8.298
深圳,38093,0.719,26.383
广州,17055,-0.333,-5.35
杭州,16047,0.131,-5.417
南京,14256,1.662,3.058
武汉,8409,0.107,4.02
成都,7816,-0.875,-3.458
苏州,12176,0.562,-0.238
大连,10346,-1.335,-8.902
厦门,21805,1.603,5.196
西安,6672,-0.105,-3.681
长沙,6268,-0.87,-4.393
宁波,12132,-0.041,-5.551
东莞,9294,0.378,-2.701
无锡,8181,-0.122,-1.172
福州,13003,-1.328,-11.484
沈阳,7299,0.523,-2.745
青岛,8978,-0.73,-5.93
济南,8594,0.151,-1.547
南昌,8910,0.281,-1.937
合肥,7577,0.906,2.281
郑州,9217,0.48,2.195
太原,7032,0.128,2.433
石家庄,7193,1.338,2.669
长春,6902,0.218,-0.976
哈尔滨,7107,-0.56,-1.086
呼和浩特,6544,-1.043,-6.528
海口,9195,0.492,-7.736
南宁,7249,0.36,-8.76
兰州,7116,1.166,-2.986
昆明,7789,-0.358,-4.465
贵阳,4641,-0.876,-6.582
西宁,5905,-0.152,-0.287
银川,5003,-0.537,-1.998
乌鲁木齐,7184,-0.622,-5.685
温州,12824,-0.093,-6.551
潍坊,4435,-1.137,-3.775
包头,5389,0.037,-5.056
北海,5457,-0.692,-5.359
常州,7311,0.675,-2.818
桂林,4924,-0.304,-16.5
嘉兴,7251,0.207,-2.88
南通,8125,0.333,-8.171
唐山,5866,0.102,-3.041
徐州,5697,-0.905,-5.585
镇江,6576,0.305,0.198
扬州,8716,-0.752,-5.507
佛山,8428,0.154,-2.657
惠州,6377,-0.685,-3.7
昆山,9202,-0.905,1.288
廊坊,7195,1.438,-0.525
连云港,5843,0.189,0.672
洛阳,5275,-0.771,-3.688
秦皇岛,6455,-0.601,-6.962
三亚,20258,0.581,-10.762
汕头,8037,-0.79,-3.11
烟台,6348,-0.797,-1.886
中山,6040,0.734,-5.463
珠海,13324,0.665,0.916
吉林,5524,-0.755,-7.749
金华,8584,0.468,-7.6
泉州,7644,0.738,-3.142
赣州,5773,1.086,-1.602
宜昌,5485,1.518,-3.755
湛江,7088,1.81,-5.92
江门,5876,0.342,-7.435
舟山,0,0,0
鞍山,5164,1.136,1.614
宝鸡,3849,-1.861,-8.856
保定,5983,-0.067,7.531
德州,4475,-0.223,-5.05
东营,5387,-0.241,-7.008
鄂尔多斯,8510,-0.164,-5.339
邯郸,5199,0.231,4.734
菏泽,4221,-0.189,-10.077
湖州,8542,-0.373,-4.825
宿迁,4604,-0.173,-7.883
江阴,6224,-0.892,-8.806
聊城,4658,-0.171,-5.229
柳州,7061,0.071,-3.591
马鞍山,4936,-0.744,-6.106
绵阳,4815,-1.352,-1.975
日照,5649,0.929,-9.005
淮安,4749,0.232,-4.811
台州,10109,-0.756,-7.231
泰州,6233,-0.352,-5.331
威海,6258,-1.309,-0.84
吴江,0,0,0
芜湖,5736,-0.278,-2.714
湘潭,3969,-0.05,-0.025
新乡,4203,1.448,0.143
营口,4516,-0.834,-3.173
张家港,8691,1.613,-9.478
株洲,4665,-0.554,-4.582
淄博,5723,1.077,-1.48
衡水,4865,0.144,-0.876
绍兴,8526,-0.525,-11.903
常熟,9172,0.526,-4.309
盐城,5571,0.596,-1.798
