0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
上海,39035,37144,37062,36935,36143,35644,35451,35405,34118,33727,33263,32509,32426,32295,32278,32029,32140,31766,31859,32215,32322,32469,32388,32527,32339,32022,31670,31260,30544,29995,29306,28979,28672,28429,28265,28200,28147,28022,27655,27034,26951,26933,26924,26905,26853,26844,26670,26929,27104,27169,27187,27210,27325,27454,27576,27639,27674,27346,27086,26677,26206,26211,25870,25377,25407,25071,24647,24268,25159,25477
南京,15807,15323,15036,14759,14661,14514,14329,14256,14023,13949,13843,13751,13670,13768,13807,13814,13913,13889,13821,13833,13918,13972,14024,14217,14118,14060,13877,13842,13489,13255,13064,13008,12979,12728,12517,12390,12176,11945,11867,11807,11776,11716,11671,11618,11542,11508,11502,11485,11496,11523,11524,11548,11620,11761,11852,11842,11868,11860,11930,11934,11913,11870,11803,11609,11606,11614,11612,11487,11491,11636
无锡,8392,8420,8343,8202,8086,8180,8224,8181,8191,8229,8212,8220,8273,8228,8209,8166,8168,8163,8199,8278,8311,8447,8470,8469,8491,8641,8900,8825,8788,8768,8754,8746,8584,8618,8651,8613,8568,8480,8416,8581,8610,8716,8586,8563,8687,8552,8533,8559,8579,8698,8828,8878,9029,9202,9199,9323,9275,9387,9291,9279,9226,9190,9191,9225,8916,8784,8789,8791,8498,8500
常州,7094,6889,7007,7088,7131,7197,7248,7311,7262,7267,7188,7214,7245,7205,7229,7242,7281,7290,7345,7523,7561,7571,7693,7774,7858,7926,8027,8059,8012,8028,8141,8320,8265,8304,8265,8141,8220,8203,8165,8171,8198,8239,8294,8232,8110,8039,8067,8079,8135,8199,8286,8303,8326,8368,8372,8264,8288,8169,8087,8088,7958,7843,7724,7506,7438,7310,7159,7049,7053,7066
苏州,14205,13428,12721,12574,12335,11998,12143,12176,12108,12066,12019,11968,11959,11953,11972,12027,11944,11988,12091,12205,12500,12530,12569,12669,12727,12691,12592,12705,12629,12582,12443,12569,12774,12693,12729,12567,12444,12135,12098,11939,11937,11972,12085,11882,11904,11502,11496,11528,11594,11726,11753,11683,11726,11771,12143,12137,12188,12229,12279,12241,12354,11871,11713,11181,10941,10869,10800,10830,10885,10931
南通,8209,8214,8267,8288,8280,8280,8217,8125,8098,8102,8177,8290,8340,8336,8413,8508,8642,8812,8733,8848,8905,9111,9062,9200,9388,9339,9399,9461,9640,9768,9738,9655,9491,9505,9580,9429,9141,9044,8933,9066,9131,9206,9248,9248,9196,9188,9378,9614,9727,9740,9969,9999,10062,10459,10394,10440,10518,10461,10328,10573,10571,10549,10269,10042,10022,9738,9655,9587,9380,9433
扬州,8635,8563,8601,8646,8732,8792,8775,8716,8782,8746,8841,8835,8864,8850,8907,8813,8935,8970,9127,9224,9234,9302,9474,9357,9346,9217,9488,9426,9331,9289,9203,9199,9298,9318,9251,9309,9225,9085,8822,8998,8973,9065,9129,9052,8872,8909,8974,8986,8906,8874,8988,8944,8956,8925,8985,8982,8900,8935,8821,8857,8759,8741,8640,8483,8348,8198,8099,7924,7939,8096
镇江,6565,6434,6484,6511,6497,6513,6568,6576,6556,6591,6575,6499,6579,6560,6533,6486,6518,6565,6576,6563,6568,6522,6546,6546,6543,6645,6622,6599,6575,6579,6593,6629,6599,6585,6537,6435,6415,6331,6302,6191,6077,6170,6123,6173,6200,6202,6190,6219,6244,6293,6295,6255,6273,6288,6358,6392,6475,6442,6458,6488,6447,6277,6039,5976,5894,5714,5516,5446,5470,5480
泰州,5686,5791,5877,5938,5965,6008,6128,6233,6255,6311,6356,6421,6441,6436,6396,6440,6498,6520,6506,6584,6626,6662,6888,6984,7102,7040,6979,6957,7125,7121,7117,7108,7181,7195,7187,7198,7166,7201,7145,7015,7182,7035,7058,7096,6972,6783,6596,6720,6759,6640,6655,6496,6611,6547,6466,6587,6591,6502,6534,6450,6355,6260,6151,6057,5842,5713,5506,5280,5128,5147
杭州,16453,16410,16278,16186,16104,16069,16155,16047,16026,15942,15830,15898,16132,16153,16215,16133,16016,16166,16594,16966,17279,17547,17916,18046,18151,18184,18208,18051,17812,17530,17290,17141,17022,16922,16813,16699,16603,16599,16592,16567,16499,16432,16349,16316,16258,16183,16222,16528,16599,16752,16861,16921,17006,17068,17094,17159,17256,17305,17245,17576,17452,17357,17282,16968,16907,16798,16640,16077,16217,16416
