t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p
1891,82,127,792,499,9.48344772,2.024432468,2.908415766,1.839191779,36140.0544472
82,127,792,499,193,2.024432468,2.908415766,1.839191779,-2.744773605,36067.5378949
127,792,499,193,46,2.908415766,1.839191779,-2.744773605,0.320231573,35942.5623274
792,499,193,46,1287,1.839191779,-2.744773605,0.320231573,1.454644876,35153.4707431
499,193,46,1287,391,-2.744773605,0.320231573,1.454644876,-2.04357452,34656.3099349
193,46,1287,391,464,0.320231573,1.454644876,-2.04357452,1.847369016,34460.5651613
46,1287,391,464,754,1.454644876,-2.04357452,1.847369016,-3.521061884,34414.8853929
1287,391,464,754,83,-2.04357452,1.847369016,-3.521061884,-4.559802464,33129.3400378
391,464,754,83,131,1.847369016,-3.521061884,-4.559802464,-0.78965451,32736.2964632
464,754,83,131,17,-3.521061884,-4.559802464,-0.78965451,-2.633872425,32274.1438323
754,83,131,17,249,-4.559802464,-0.78965451,-2.633872425,-0.21275949,31516.6227704
83,131,17,249,-111,-0.78965451,-2.633872425,-0.21275949,-3.2071345,31429.0629679
131,17,249,-111,374,-2.633872425,-0.21275949,-3.2071345,-9.39606945,31297.2733134
17,249,-111,374,-93,-0.21275949,-3.2071345,-9.39606945,-8.22794469,31277.639441
249,-111,374,-93,-356,-3.2071345,-9.39606945,-8.22794469,-10.35845361,31028.4266815
-111,374,-93,-356,-107,-9.39606945,-8.22794469,-10.35845361,-8.92529901,31136.219547
374,-93,-356,-107,-147,-8.22794469,-10.35845361,-8.92529901,-9.25655506,30752.8234775
-93,-356,-107,-147,81,-10.35845361,-8.92529901,-9.25655506,-4.56805541,30837.5955328
-356,-107,-147,81,-139,-8.92529901,-9.25655506,-4.56805541,-7.9327002,31183.2370792
-107,-147,81,-139,188,-9.25655506,-4.56805541,-7.9327002,-5.36664497,31281.3117802
-147,81,-139,188,317,-4.56805541,-7.9327002,-5.36664497,0.27151667,31419.0552252
81,-139,188,317,352,-7.9327002,-5.36664497,0.27151667,-7.36788489,31333.4871697
-139,188,317,352,410,-5.36664497,0.27151667,-7.36788489,-1.98850005,31464.5544695
188,317,352,410,716,0.27151667,-7.36788489,-1.98850005,0.74040613,31271.1878246
317,352,410,716,549,-7.36788489,-1.98850005,0.74040613,4.26803452,30954.4593413
352,410,716,549,689,-1.98850005,0.74040613,4.26803452,3.36617717,30595.0914564
410,716,549,689,327,0.74040613,4.26803452,3.36617717,1.29216703,30183.1029563
716,549,689,327,307,4.26803452,3.36617717,1.29216703,0.73892157,29467.8433624
549,689,327,307,243,3.36617717,1.29216703,0.73892157,-0.2423259,28923.111397
689,327,307,243,164,1.29216703,0.73892157,-0.2423259,4.04665546,28237.4775741
327,307,243,164,65,0.73892157,-0.2423259,4.04665546,10.19266799,27911.7697412
307,243,164,65,53,-0.2423259,4.04665546,10.19266799,9.35452691,27605.5086627
243,164,65,53,125,4.04665546,10.19266799,9.35452691,9.2190145,27362.2663368
164,65,53,125,367,10.19266799,9.35452691,9.2190145,6.81089829,27202.3129923
65,53,125,367,621,9.35452691,9.2190145,6.81089829,3.09085486,27147.5056603
