t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
45,79,47,36,9,9.48344772,2.024432468,2.908415766,1.839191779,4076.05444718,-32064,1891,82,127,792,499
79,47,36,9,-6,2.024432468,2.908415766,1.839191779,-2.744773605,4006.5378949,-32061,82,127,792,499,193
47,36,9,-6,-21,2.908415766,1.839191779,-2.744773605,0.320231573,3961.56232737,-31981,127,792,499,193,46
36,9,-6,-21,-37,1.839191779,-2.744773605,0.320231573,1.454644876,3928.47074313,-31225,792,499,193,46,1287
9,-6,-21,-37,54,-2.744773605,0.320231573,1.454644876,-2.04357452,3921.30993491,-30735,499,193,46,1287,391
-6,-21,-37,54,-125,0.320231573,1.454644876,-2.04357452,1.847369016,3924.56516131,-30536,193,46,1287,391,464
-21,-37,54,-125,-34,1.454644876,-2.04357452,1.847369016,-3.521061884,3945.88539288,-30469,46,1287,391,464,754
-37,54,-125,-34,-15,-2.04357452,1.847369016,-3.521061884,-4.559802464,3984.34003776,-29145,1287,391,464,754,83
54,-125,-34,-15,5,1.847369016,-3.521061884,-4.559802464,-0.78965451,3928.29646324,-28808,391,464,754,83,131
-125,-34,-15,5,-29,-3.521061884,-4.559802464,-0.78965451,-2.633872425,4055.14383225,-28219,464,754,83,131,17
-34,-15,5,-29,17,-4.559802464,-0.78965451,-2.633872425,-0.21275949,4085.62277037,-27431,754,83,131,17,249
-15,5,-29,17,18,-0.78965451,-2.633872425,-0.21275949,-3.2071345,4096.0629679,-27333,83,131,17,249,-111
5,-29,17,18,-81,-2.633872425,-0.21275949,-3.2071345,-9.39606945,4090.2733134,-27207,131,17,249,-111,374
-29,17,18,-81,-55,-0.21275949,-3.2071345,-9.39606945,-8.22794469,4116.63944097,-27161,17,249,-111,374,-93
17,18,-81,-55,-39,-3.2071345,-9.39606945,-8.22794469,-10.35845361,4099.42668148,-26929,249,-111,374,-93,-356
18,-81,-55,-39,32,-9.39606945,-8.22794469,-10.35845361,-8.92529901,4078.21954698,-27058,-111,374,-93,-356,-107
-81,-55,-39,32,-74,-8.22794469,-10.35845361,-8.92529901,-9.25655506,4149.82347753,-26603,374,-93,-356,-107,-147
-55,-39,32,-74,19,-10.35845361,-8.92529901,-9.25655506,-4.56805541,4196.59553284,-26641,-93,-356,-107,-147,81
-39,32,-74,19,-70,-8.92529901,-9.25655506,-4.56805541,-7.9327002,4225.23707923,-26958,-356,-107,-147,81,-139
32,-74,19,-70,46,-9.25655506,-4.56805541,-7.9327002,-5.36664497,4184.31178022,-27097,-107,-147,81,-139,188
-74,19,-70,46,-21,-4.56805541,-7.9327002,-5.36664497,0.27151667,4249.05522516,-27170,-147,81,-139,188,317
19,-70,46,-21,-185,-7.9327002,-5.36664497,0.27151667,-7.36788489,4225.48716975,-27108,81,-139,188,317,352
-70,46,-21,-185,35,-5.36664497,0.27151667,-7.36788489,-1.98850005,4287.55446955,-27177,-139,188,317,352,410
46,-21,-185,35,-118,0.27151667,-7.36788489,-1.98850005,0.74040613,4236.18782458,-27035,188,317,352,410,716
-21,-185,35,-118,-117,-7.36788489,-1.98850005,0.74040613,4.26803452,4257.45934125,-26697,317,352,410,716,549
-185,35,-118,-117,43,-1.98850005,0.74040613,4.26803452,3.36617717,4435.09145636,-26160,352,410,716,549,689
35,-118,-117,43,34,0.74040613,4.26803452,3.36617717,1.29216703,4398.10295631,-25785,410,716,549,689,327
-118,-117,43,34,-33,4.26803452,3.36617717,1.29216703,0.73892157,4516.84336244,-24951,716,549,689,327,307
-117,43,34,-33,-61,3.36617717,1.29216703,0.73892157,-0.2423259,4638.11139696,-24285,549,689,327,307,243
43,34,-33,-61,33,1.29216703,0.73892157,-0.2423259,4.04665546,4598.47757413,-23639,689,327,307,243,164
34,-33,-61,33,65,0.73892157,-0.2423259,4.04665546,10.19266799,4565.76974116,-23346,327,307,243,164,65
-33,-61,33,65,53,-0.2423259,4.04665546,10.19266799,9.35452691,4599.50866273,-23006,307,243,164,65,53
-61,33,65,53,-15,4.04665546,10.19266799,9.35452691,9.2190145,4660.26633683,-22702,243,164,65,53,125
33,65,53,-15,-29,10.19266799,9.35452691,9.2190145,6.81089829,4631.31299229,-22571,164,65,53,125,367
65,53,-15,-29,140,9.35452691,9.2190145,6.81089829,3.09085486,4576.50566028,-22571,65,53,125,367,621
53,-15,-29,140,-144,9.2190145,6.81089829,3.09085486,2.0050723,4532.86018719,-22571,53,125,367,621,83
-15,-29,140,-144,-17,6.81089829,3.09085486,2.0050723,-2.27791754,4557.07920169,-22431,125,367,621,83,18
-29,140,-144,-17,112,3.09085486,2.0050723,-2.27791754,0.17597266,4592.89009998,-22035,367,621,83,18,9
140,-144,-17,112,-77,2.0050723,-2.27791754,0.17597266,2.64210995,4455.98095484,-21554,621,83,18,9,19
-144,-17,112,-77,46,-2.27791754,0.17597266,2.64210995,1.55975,4601.98602714,-21327,83,18,9,19,52
-17,112,-77,46,-61,0.17597266,2.64210995,1.55975,9.8662287,4616.7081096,-21292,18,9,19,52,9
112,-77,46,-61,-38,2.64210995,1.55975,9.8662287,-4.25363274,4504.88408226,-21395,9,19,52,9,174
-77,46,-61,-38,-31,1.55975,9.8662287,-4.25363274,-8.86178437,4584.52619221,-21299,19,52,9,174,-259
46,-61,-38,-31,-17,9.8662287,-4.25363274,-8.86178437,-4.83791868,4540.08594221,-21293,52,9,174,-259,-175
-61,-38,-31,-17,-43,-4.25363274,-8.86178437,-4.83791868,-5.36003991,4610.95217091,-21223,9,174,-259,-175,-65
-38,-31,-17,-43,-60,-8.86178437,-4.83791868,-5.36003991,-7.12507253,4644.69853817,-21011,174,-259,-175,-65,-18
-31,-17,-43,-60,-28,-4.83791868,-5.36003991,-7.12507253,-1.10993931,4666.8367538,-21239,-259,-175,-65,-18,-23
-17,-43,-60,-28,-47,-5.36003991,-7.12507253,-1.10993931,-5.48129658,4678.99883512,-21397,-175,-65,-18,-23,-115
-43,-60,-28,-47,-46,-7.12507253,-1.10993931,-5.48129658,-10.56868972,4716.63879521,-21419,-65,-18,-23,-115,-129
