,resid_0,resid_1,resid_2,resid_3,resid_4,resid_5,resid_6,resid_7,resid_8,resid_9,resid_10,resid_11,resid_12,resid_13,resid_14,resid_15,resid_16,resid_17,resid_18
resid_0,91950.7678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resid_1,0,5131.287023,-1348.515725,88.39069721,3796.139813,-16.85379853,-156.9643267,259.1281504,-102.86004,-773.0999098,1257.353733,410.9638623,-43.68790953,-1461.827454,-1598.116473,-109.463009,113.8637719,881.2471407,-1167.342635
resid_2,0,-1348.515725,5909.29057,-106.2075408,965.9418456,1588.397491,887.1743686,48.80603583,-803.6770085,1488.543773,-1026.699164,1053.158217,-758.7381381,278.899114,2429.591697,1170.229916,1347.387409,695.4178105,1581.837041
resid_3,0,88.39069721,-106.2075408,3132.64112,1191.11163,376.6302295,1030.83499,424.8974355,-496.1128623,970.9332424,-321.8233729,148.7817782,308.3594274,652.6049398,-610.9839264,-131.8685285,-9.080178885,-15.93301276,-487.3839012
resid_4,0,3796.139813,965.9418456,1191.11163,24454.80533,41.28338969,-324.7189487,271.203979,24.85796852,3462.994211,1595.813953,528.5777612,2510.365212,2666.676116,-1561.55132,1728.612094,2331.846636,1130.298108,559.1914757
resid_5,0,-16.85379853,1588.397491,376.6302295,41.28338969,11063.07125,609.8908241,209.1449642,99.89160837,1505.468157,386.8808364,951.3348824,-22.67987785,632.2192819,2076.210901,-645.8738435,1341.880688,1231.338442,458.2553663
resid_6,0,-156.9643267,887.1743686,1030.83499,-324.7189487,609.8908241,5301.700028,-112.9367883,-630.1378311,1219.807348,-615.6549926,797.0505694,-155.1608578,538.5436228,160.564438,1024.901563,30.96049816,219.3025494,117.9091877
resid_7,0,259.1281504,48.80603583,424.8974355,271.203979,209.1449642,-112.9367883,2337.469215,-734.7313152,55.51064689,366.3935194,4.358567045,-211.7180615,-265.2586521,1104.223935,72.9509462,476.1593336,156.91769,-497.1073211
resid_8,0,-102.86004,-803.6770085,-496.1128623,24.85796852,99.89160837,-630.1378311,-734.7313152,5253.67717,769.9731072,424.6203593,-713.1467068,253.0766544,-244.5648175,-1835.386156,209.8219176,757.5190207,385.9204311,294.314146
resid_9,0,-773.0999098,1488.543773,970.9332424,3462.994211,1505.468157,1219.807348,55.51064689,769.9731072,11945.83759,653.0174411,406.8134006,527.2027904,483.8160992,-915.8061982,11.60870848,85.57107851,-80.86096357,-183.5860896
resid_10,0,1257.353733,-1026.699164,-321.8233729,1595.813953,386.8808364,-615.6549926,366.3935194,424.6203593,653.0174411,7626.936901,-38.81225552,-144.9205911,411.6051546,-3423.493079,-1380.22011,-814.6086334,-689.8695288,-569.4142851
resid_11,0,410.9638623,1053.158217,148.7817782,528.5777612,951.3348824,797.0505694,4.358567045,-713.1467068,406.8134006,-38.81225552,2941.750487,467.5828899,-631.12409,1221.735301,606.4201183,648.2331971,1357.177457,327.5634637
resid_12,0,-43.68790953,-758.7381381,308.3594274,2510.365212,-22.67987785,-155.1608578,-211.7180615,253.0766544,527.2027904,-144.9205911,467.5828899,7786.356039,1818.855144,181.2206867,249.0634803,597.8830399,1414.038921,545.5321019
resid_13,0,-1461.827454,278.899114,652.6049398,2666.676116,632.2192819,538.5436228,-265.2586521,-244.5648175,483.8160992,411.6051546,-631.12409,1818.855144,7570.238041,-1703.475502,3939.477219,780.3722563,-435.2730705,1766.005514
resid_14,0,-1598.116473,2429.591697,-610.9839264,-1561.55132,2076.210901,160.564438,1104.223935,-1835.386156,-915.8061982,-3423.493079,1221.735301,181.2206867,-1703.475502,14256.9828,236.7688997,1050.169117,1883.712519,271.8474985
resid_15,0,-109.463009,1170.229916,-131.8685285,1728.612094,-645.8738435,1024.901563,72.9509462,209.8219176,11.60870848,-1380.22011,606.4201183,249.0634803,3939.477219,236.7688997,12855.97567,3978.970506,591.4777896,-253.0101371
resid_16,0,113.8637719,1347.387409,-9.080178885,2331.846636,1341.880688,30.96049816,476.1593336,757.5190207,85.57107851,-814.6086334,648.2331971,597.8830399,780.3722563,1050.169117,3978.970506,4906.883627,762.7198299,10.63254944
resid_17,0,881.2471407,695.4178105,-15.93301276,1130.298108,1231.338442,219.3025494,156.91769,385.9204311,-80.86096357,-689.8695288,1357.177457,1414.038921,-435.2730705,1883.712519,591.4777896,762.7198299,4056.888198,427.8533009
resid_18,0,-1167.342635,1581.837041,-487.3839012,559.1914757,458.2553663,117.9091877,-497.1073211,294.314146,-183.5860896,-569.4142851,327.5634637,545.5321019,1766.005514,271.8474985,-253.0101371,10.63254944,427.8533009,3298.313405
