城市,样本平均价,环比涨跌,同比涨跌
全国(百城),11026,0.419,4.373
北京,35086,0.3,8.25
上海,37062,0.344,14.821
天津,11021,0.2,4.762
重庆,6964,-0.315,-3.425
深圳,44823,5.241,44.983
广州,17158,0.586,-2.1
杭州,16278,0.568,0.389
南京,15036,1.877,8.901
武汉,9051,0.802,16.622
成都,7720,-0.707,-3.076
苏州,12721,1.169,6.256
大连,10111,0.317,-6.57
厦门,22445,1.076,4.78
西安,6406,0.047,-4.388
长沙,6217,-1.692,-2.402
宁波,12137,-0.704,-2.553
东莞,10157,5.069,12.034
无锡,8343,1.719,1.632
福州,12151,-1.889,-11.719
沈阳,7137,-0.903,-2.66
青岛,8650,-0.837,-5.917
济南,8491,-0.212,-0.945
南昌,8849,-0.124,0.477
合肥,8026,0.425,8.153
郑州,9531,0.506,5.677
太原,7126,0.225,2.048
石家庄,7290,-0.6,4.158
长春,6707,-1.527,-1.815
哈尔滨,7109,0.268,-1.099
呼和浩特,6432,-0.109,-4.838
海口,9488,-0.409,1.173
南宁,7336,1.946,-0.905
兰州,7226,-0.578,3.361
昆明,7644,0.157,-6.518
贵阳,4508,0.2,-5.075
西宁,5900,0.511,-1.404
银川,4807,0.439,-5.69
乌鲁木齐,7185,0.042,-2.997
温州,13230,0.349,3.335
潍坊,4429,0.204,-1.49
包头,5499,-0.109,1.308
北海,5448,0.591,-4.017
常州,7007,-1.143,-3.071
桂林,4955,0.222,-4.214
嘉兴,7401,-0.31,2.055
南通,8267,-0.253,-1.735
唐山,5885,-0.457,-0.085
徐州,5735,0.685,-1.308
镇江,6484,-0.415,-0.75
扬州,8601,-0.52,-3.436
佛山,8800,0.836,2.171
惠州,7237,5.45,11.734
昆山,9513,1.127,5.279
廊坊,7623,1.087,5.993
连云港,5831,-0.205,1.462
洛阳,5246,-0.057,-1.019
秦皇岛,6482,0.668,-2.144
三亚,18714,-2.021,-9.873
汕头,8563,2.896,2.477
烟台,6242,-0.462,-3.105
中山,6200,3.144,3.076
珠海,14075,2.752,6.872
吉林,5215,-2.286,-5.423
金华,8263,0.036,-4.54
泉州,7521,0.588,-3.453
赣州,6098,2.85,7.02
宜昌,5359,-1.253,-4.559
湛江,6754,-2.974,-5.154
江门,5857,0.826,-1.364
舟山,0,0,0
鞍山,5169,0.039,1.214
宝鸡,3968,-0.427,-0.302
保定,6451,1.559,15.279
德州,4490,0.47,0.922
东营,5477,0.275,-1.723
鄂尔多斯,8258,-2.295,-5.004
邯郸,5130,-0.658,-0.927
菏泽,4113,-0.218,-4.681
湖州,8262,-0.709,-6.316
宿迁,4621,0.478,-3.347
江阴,6485,2.126,0.746
聊城,4549,0.154,-4.972
柳州,7176,-0.319,4.667
马鞍山,5001,0.949,-2.267
绵阳,4767,0.697,-3.306
日照,5818,0.675,-2.546
淮安,4778,-0.313,-0.83
台州,9615,0.01,-7.911
泰州,5877,-1.027,-8.114
威海,6347,0.666,1.083
吴江,0,0,0
芜湖,5571,0.451,-4.997
湘潭,3998,0.201,2.146
新乡,4110,0.366,-3.589
营口,4455,-0.846,-2.452
张家港,8844,0,-0.718
株洲,4590,-0.196,-2.423
淄博,5834,0.017,1.779
衡水,4965,0.04,0.751
绍兴,8174,-0.511,-9.188
常熟,9210,0.645,0.92
盐城,5489,1.423,-1.507
