,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,1019.37542192,1003.94555282,994.4621051,992.437672632,989.529256866,987.690065087,990.434838692,990.114607119,988.659962243,990.703536763,988.856167747,992.377229631,996.937032095,997.726686605,1000.36055903,1000.57331852,1003.78045302,1013.17652247,1021.40446716,1031.76292077,1040.68821978,1049.94477484,1054.51283025,1062.44553045,1067.81217542,1067.54065875,1074.90854364,1076.89704369,1076.15663756,1071.88860304,1068.52242587,1067.23025884,1066.49133727,1066.73366317,1062.68700771,1052.49433972,1043.13981281,1033.92079831,1027.10990002,1024.01904516,1022.01397286,1024.2918904,1024.11591774,1021.47380779,1019.91405779,1010.04782909,1014.30146183,1023.1632462,1028.00116488,1033.36120479,1040.48627732,1041.59621663,1047.07751321,1057.64620293,1064.28758735,1066.54087134,1069.01779374,1071.04252032,1067.7570033,1068.5000721,1066.18606911,1055.39149661,1045.67240121,1029.80987586,1017.69192173,1007.02793942,998.51513344,992.956697629,984.426589119,990.614698072
1,1135.68167217,1116.89285751,1112.95701865,1112.22493288,1107.77493299,1107.42148312,1110.76695102,1112.02088724,1107.92825488,1108.07897029,1107.31494158,1108.14703016,1112.26302,1111.29459198,1113.54515412,1110.40453084,1115.01997927,1121.19316729,1129.52328426,1140.78107354,1145.66334368,1153.76043177,1159.97292399,1165.61454242,1168.11019593,1167.35261375,1177.86971148,1174.96110327,1175.00758613,1171.57470369,1165.93556897,1163.82999195,1164.71821317,1166.08897032,1160.38042582,1150.80766945,1143.04529298,1135.5122591,1125.45829722,1119.3206844,1117.4293984,1121.43986473,1119.06960884,1118.31769382,1113.51349666,1106.43677467,1110.77309341,1120.50755757,1125.48293979,1129.59471123,1136.13429539,1135.92834766,1142.74342583,1150.37246001,1157.25391042,1161.10435432,1162.82029798,1162.32128542,1156.93844488,1155.02971017,1147.41949077,1136.57262505,1124.68716894,1108.60524813,1092.20994085,1076.28460323,1060.68713568,1049.91318539,1048.45977862,1055.79613066
2,1870.72492353,1818.91050754,1798.02727001,1794.36200432,1782.02480785,1769.96589024,1774.77123654,1776.11030031,1761.06977631,1758.93378414,1749.74725716,1747.99024689,1752.46989572,1752.2973698,1756.37869725,1755.20579994,1758.86524065,1767.32207012,1779.95406127,1799.67472278,1815.97004721,1828.55858142,1834.80700596,1847.66545699,1854.19973476,1849.73498599,1851.06097177,1851.99308868,1844.07838302,1833.06916461,1821.933217,1821.93727057,1824.07843217,1821.13811468,1812.6989895,1795.69394754,1782.03522746,1764.64308217,1750.69914609,1736.82140747,1734.51730641,1737.82859814,1741.272571,1733.57752624,1727.69964005,1709.11831029,1713.53864356,1727.54721683,1737.37059505,1745.80945954,1755.26905303,1754.72663116,1762.26255192,1774.56212851,1790.24308493,1791.06524374,1794.97221285,1791.12157462,1785.07808769,1782.40785641,1774.35768406,1750.98518225,1730.53198824,1693.97967062,1675.92444131,1656.09333175,1636.00586815,1622.1208837,1624.79167409,1635.84004647
3,1586.17046822,1556.1693487,1544.0195581,1538.14341442,1528.16867369,1523.83732178,1526.69083013,1525.86896357,1515.96510959,1515.75918993,1511.21508497,1510.07630897,1514.96825403,1514.65907274,1517.01144918,1514.02931847,1519.42185556,1526.35018417,1535.40953465,1549.54431838,1559.66282538,1572.49697704,1578.79769268,1587.4487318,1591.52356573,1590.01950418,1597.30484703,1593.80885965,1588.52781338,1579.36730441,1568.91179364,1564.24459267,1561.9492076,1559.82340458,1552.92329874,1541.34645491,1527.71929726,1513.88685139,1500.33690181,1493.81449658,1491.99148851,1495.88488079,1493.24882922,1490.25034236,1487.77879796,1474.65817439,1477.05867572,1489.70601836,1496.38441352,1502.52261435,1511.92002052,1511.53046465,1521.56537809,1534.53500631,1543.3162354,1549.80988298,1551.59176142,1552.00497759,1545.95637152,1544.17982291,1536.18364053,1521.9384559,1505.96325737,1484.27516015,1463.74538672,1444.56147283,1428.21727833,1415.0198796,1409.04246039,1418.95965562
4,1765.11060035,1733.95057397,1730.39110916,1726.14436073,1714.94137588,1713.85099605,1714.35224423,1712.17820536,1696.16489959,1695.50812152,1685.98730551,1683.90254473,1689.94198898,1688.72573849,1691.54572269,1686.61714435,1692.35830215,1698.96793795,1710.51682071,1729.01544212,1737.95668136,1754.71375353,1758.80727237,1768.97648864,1773.22764877,1772.85827996,1783.60911906,1778.11214918,1769.29864554,1756.82969361,1746.62841259,1739.68026643,1730.09995293,1730.20313983,1721.24082742,1707.97391799,1695.70330041,1685.11752716,1669.69059423,1663.71987419,1661.39365643,1666.56003174,1662.37643837,1660.55955331,1659.26233545,1649.30511633,1652.90534233,1667.52972139,1676.18909074,1684.42483962,1696.36172424,1700.08036149,1710.5918933,1727.08227176,1732.183009,1737.65774797,1738.59666918,1737.51644852,1727.06695123,1723.71013077,1710.718591,1702.07340333,1687.08281488,1668.36985251,1649.3461079,1628.70508895,1611.48099406,1598.08161106,1591.92444898,1602.23130511
5,1395.4597152,1359.33838104,1348.65322508,1344.57686503,1333.1967256,1326.88610463,1329.33329963,1330.16662981,1315.69597418,1313.51671973,1306.07556876,1300.77955672,1303.86558567,1302.74823381,1304.23547447,1300.76914895,1304.19366274,1306.80879799,1316.02874702,1329.7971493,1338.9866577,1347.74083509,1353.62848923,1361.21877413,1363.15641157,1360.9002519,1364.57751222,1360.8142447,1351.21446823,1340.49118759,1330.61313748,1328.22688694,1326.19807956,1323.67214723,1317.16285484,1307.73816596,1300.73030134,1290.34025787,1279.62749156,1269.63756674,1267.32843972,1269.28012657,1268.34410432,1264.8764172,1262.11181498,1250.59477557,1250.38329917,1259.56577245,1265.31616373,1271.1073357,1276.99120154,1276.97771741,1284.32821714,1291.9215549,1300.45187114,1303.4474315,1304.97681252,1303.07950527,1297.84961606,1291.98482961,1283.24757424,1270.96650964,1258.88956458,1238.48770548,1223.68934495,1209.90215805,1195.54070584,1184.2582485,1186.41052717,1195.23415092
6,1466.11320178,1437.59391885,1432.14033949,1428.88272443,1421.7715996,1419.1282959,1422.84026104,1424.85995798,1414.82154228,1416.04157532,1411.00123107,1408.18206645,1413.39871807,1413.27187879,1413.85522845,1411.81572251,1417.91770036,1424.17966734,1429.07751892,1440.01869571,1447.49367332,1454.22844313,1462.4963178,1473.14268015,1476.80106726,1479.01174111,1479.59638821,1476.73939598,1472.32294911,1465.15323693,1459.01279534,1458.10259432,1455.54427504,1452.00376515,1443.47527405,1429.33089706,1419.33653168,1407.84912555,1398.62624791,1385.92241137,1382.3178906,1384.91115217,1381.46778874,1381.89417379,1378.06279541,1367.18943786,1366.8209809,1377.96692238,1385.11442375,1389.90638419,1395.61562851,1393.02102868,1401.99552131,1411.73233032,1419.06495038,1424.19363948,1429.82989177,1425.84392365,1423.75597412,1422.01495194,1413.24347209,1396.30553597,1375.59106961,1355.41664533,1338.05055475,1317.99892612,1296.40461769,1281.48267099,1278.26239854,1285.85452876
7,1658.6746365,1629.77648168,1622.68837477,1619.46035237,1616.12865208,1615.02497118,1615.31822769,1614.21275309,1607.00466275,1604.87813903,1603.88190321,1604.03762302,1607.15018045,1607.2971271,1611.94593766,1607.63252703,1617.85338179,1623.89232616,1635.78453066,1652.58506062,1660.93225785,1673.37219878,1687.9778918,1694.31826249,1697.51301415,1689.96168249,1704.06726152,1699.49069854,1690.69793514,1680.80856122,1669.86296374,1667.41905382,1670.09367379,1667.73691626,1657.58920391,1649.17562596,1635.73007398,1620.74610295,1600.70716302,1600.46485499,1600.33571788,1603.52698833,1604.74732043,1599.06809852,1586.06390085,1576.33644084,1580.20879467,1590.82234051,1593.8668965,1596.14132157,1607.35020582,1605.27367843,1614.32428404,1623.23097308,1631.06062952,1634.17641671,1632.74969836,1631.74088991,1623.45321642,1622.07094397,1610.32235367,1599.23165535,1583.96604376,1558.02467628,1537.68973156,1518.18883591,1500.44229575,1480.59948473,1477.18592277,1491.80330146
8,1335.9848892,1307.78333999,1301.53466452,1298.8728796,1293.27815874,1291.00911826,1291.50443619,1290.06512337,1281.60653116,1280.25485995,1276.71632488,1274.50278742,1278.62146226,1278.01912916,1281.24397979,1277.68834313,1284.13193834,1289.81846549,1298.48452025,1311.07347402,1318.04654359,1327.04508192,1333.42444943,1339.07936442,1341.49332327,1339.92752448,1348.90423253,1346.14908014,1338.30600738,1331.30071973,1323.92317335,1322.66756703,1320.56698952,1318.74832854,1311.64921634,1301.27966112,1291.33437407,1278.91082007,1265.92771781,1262.95340314,1258.65964319,1264.45762761,1263.79445144,1260.4151993,1255.04267598,1248.36903679,1253.58593585,1262.4029219,1266.80900775,1272.38970982,1281.06010451,1281.77343243,1288.0042665,1298.46807241,1306.4026913,1308.04599181,1309.85391882,1308.79206378,1302.1636508,1302.54664529,1294.45927569,1283.13240196,1267.68712355,1247.32286823,1233.605682,1216.56776889,1201.85044188,1189.93179753,1189.19213,1198.94003527
9,1299.88434112,1273.39447693,1264.98286333,1264.04201886,1259.77566337,1257.2901234,1259.49610674,1262.33910409,1254.24472533,1256.52617996,1251.4749899,1253.08135606,1257.45261015,1257.54128152,1261.10695942,1260.06468587,1265.64139573,1276.41485113,1284.84112669,1298.1320012,1305.64156806,1315.31755446,1314.47659471,1321.24837707,1324.07968411,1320.59836553,1329.68613283,1329.74315624,1327.08520806,1320.51232024,1318.0097377,1314.32043273,1313.50433331,1313.74763351,1307.61015482,1298.57970345,1288.15954523,1278.66869626,1269.13542189,1256.99589655,1252.11671155,1254.77782803,1253.33077128,1251.48972406,1250.73190341,1242.11576552,1246.78406872,1256.59856776,1262.84981807,1268.50299082,1275.08994752,1276.85469163,1282.58749421,1291.69955199,1299.48813802,1300.39179613,1301.10172789,1300.74881974,1295.73182663,1289.60981657,1284.47641316,1275.42702989,1265.27395462,1249.87679263,1238.08001416,1226.45539286,1214.2530433,1209.4187648,1203.36183942,1215.00860179
