t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
205,-118,-81,-43,-66,9.48344772,2.024432468,2.908415766,1.839191779,5885.05444718,-30255,1891,82,127,792,499
-118,-81,-43,-66,-51,2.024432468,2.908415766,1.839191779,-2.744773605,6012.5378949,-30055,82,127,792,499,193
-81,-43,-66,-51,-63,2.908415766,1.839191779,-2.744773605,0.320231573,6095.56232737,-29847,127,792,499,193,46
-43,-66,-51,-63,49,1.839191779,-2.744773605,0.320231573,1.454644876,6141.47074313,-29012,792,499,193,46,1287
-66,-51,-63,49,-5,-2.744773605,0.320231573,1.454644876,-2.04357452,6209.30993491,-28447,499,193,46,1287,391
-51,-63,49,-5,79,0.320231573,1.454644876,-2.04357452,1.847369016,6257.56516131,-28203,193,46,1287,391,464
-63,49,-5,79,-26,1.454644876,-2.04357452,1.847369016,-3.521061884,6320.88539288,-28094,46,1287,391,464,754
49,-5,79,-26,-31,-2.04357452,1.847369016,-3.521061884,-4.559802464,6273.34003776,-26856,1287,391,464,754,83
-5,79,-26,-31,40,1.847369016,-3.521061884,-4.559802464,-0.78965451,6276.29646324,-26460,391,464,754,83,131
79,-26,-31,40,-24,-3.521061884,-4.559802464,-0.78965451,-2.633872425,6199.14383225,-26075,464,754,83,131,17
-26,-31,40,-24,-13,-4.559802464,-0.78965451,-2.633872425,-0.21275949,6221.62277037,-25295,754,83,131,17,249
-31,40,-24,-13,-39,-0.78965451,-2.633872425,-0.21275949,-3.2071345,6248.0629679,-25181,83,131,17,249,-111
40,-24,-13,-39,-9,-2.633872425,-0.21275949,-3.2071345,-9.39606945,6207.27331339,-25090,131,17,249,-111,374
-24,-13,-39,-9,-55,-0.21275949,-3.2071345,-9.39606945,-8.22794469,6228.63944097,-25049,17,249,-111,374,-93
-13,-39,-9,-55,-178,-3.2071345,-9.39606945,-8.22794469,-10.35845361,6241.42668148,-24787,249,-111,374,-93,-356
-39,-9,-55,-178,-38,-9.39606945,-8.22794469,-10.35845361,-8.92529901,6277.21954698,-24859,-111,374,-93,-356,-107
-9,-55,-178,-38,-10,-8.22794469,-10.35845361,-8.92529901,-9.25655506,6276.82347753,-24476,374,-93,-356,-107,-147
-55,-178,-38,-10,-122,-10.35845361,-8.92529901,-9.25655506,-4.56805541,6323.59553284,-24514,-93,-356,-107,-147,81
-178,-38,-10,-122,-81,-8.92529901,-9.25655506,-4.56805541,-7.9327002,6491.23707923,-24692,-356,-107,-147,81,-139
-38,-10,-122,-81,-84,-9.25655506,-4.56805541,-7.9327002,-5.36664497,6520.31178022,-24761,-107,-147,81,-139,188
-10,-122,-81,-84,-68,-4.56805541,-7.9327002,-5.36664497,0.27151667,6521.05522516,-24898,-147,81,-139,188,317
-122,-81,-84,-68,-101,-7.9327002,-5.36664497,0.27151667,-7.36788489,6638.48716975,-24695,81,-139,188,317,352
-81,-84,-68,-101,-32,-5.36664497,0.27151667,-7.36788489,-1.98850005,6711.55446955,-24753,-139,188,317,352,410
-84,-68,-101,-32,47,0.27151667,-7.36788489,-1.98850005,0.74040613,6790.18782458,-24481,188,317,352,410,716
-68,-101,-32,47,-16,-7.36788489,-1.98850005,0.74040613,4.26803452,6858.45934125,-24096,317,352,410,716,549
-101,-32,47,-16,-113,-1.98850005,0.74040613,4.26803452,3.36617717,6952.09145636,-23643,352,410,716,549,689
-32,47,-16,-113,-179,0.74040613,4.26803452,3.36617717,1.29216703,6982.10295631,-23201,410,716,549,689,327
47,-16,-113,-179,55,4.26803452,3.36617717,1.29216703,0.73892157,6935.84336244,-22532,716,549,689,327,307
-16,-113,-179,55,-39,3.36617717,1.29216703,0.73892157,-0.2423259,6956.11139696,-21967,549,689,327,307,243
-113,-179,55,-39,39,1.29216703,0.73892157,-0.2423259,4.04665546,7072.47757413,-21165,689,327,307,243,164
-179,55,-39,39,124,0.73892157,-0.2423259,4.04665546,10.19266799,7252.76974116,-20659,327,307,243,164,65
