城市,样本平均价,环比涨跌,同比涨跌
全国(百城),10523,-0.15,-4.35
北京,32224,-0.112,-2.555
上海,32426,0.406,0.269
天津,10559,-0.359,-5.563
重庆,7109,-0.726,-10.308
深圳,31155,0.591,-0.17
广州,17265,-1.394,-6.392
杭州,16132,-0.13,-11.123
南京,13670,-0.712,-3.173
武汉,7946,1.417,-5.213
成都,7828,-1.049,-5.539
苏州,11959,0.05,-6.034
大连,10601,-0.553,-11.266
厦门,20973,-0.846,8.809
西安,6737,0.223,-9.643
长沙,6374,-0.313,-8.995
宁波,12454,-0.464,-6.788
东莞,9040,-0.011,-5.97
无锡,8273,0.547,-2.567
福州,13419,-0.718,-14.008
沈阳,7224,-0.892,-8.96
青岛,9015,-0.76,-8.347
济南,8595,-0.382,-1.816
南昌,8711,-0.229,-9.768
合肥,7374,-0.459,0.477
郑州,9097,0.298,-3.058
太原,7035,1.544,1.853
石家庄,6979,0.853,6.974
长春,6778,-1.094,-5.203
哈尔滨,7231,-0.276,-0.372
呼和浩特,6815,-0.073,-6.541
海口,9369,-0.128,-10.61
南宁,7448,1.017,-7.306
兰州,6878,-1.546,-9.225
昆明,8194,0.061,-4.443
贵阳,4721,-0.778,-9.507
西宁,5915,-0.371,1.406
银川,5091,-0.235,-3.102
乌鲁木齐,7484,1.671,-2.17
温州,12820,0.258,-12.114
潍坊,4457,-1.219,-4.887
包头,5415,-0.35,-9.614
北海,5590,-0.107,-3.671
常州,7245,0.555,-7.801
桂林,5153,0.194,-19.522
嘉兴,7227,-0.248,-7.429
南通,8340,0.048,-11.163
唐山,5864,0,-5.021
徐州,5817,0.815,-5.399
镇江,6579,0.29,0.55
扬州,8864,0.158,-5.157
佛山,8487,-0.282,-4.35
惠州,6357,-1.472,-6.515
昆山,9060,-0.11,-0.734
廊坊,7193,0.181,-2.507
连云港,5801,-0.189,1.54
洛阳,5418,1.613,-4.191
秦皇岛,6532,-0.91,-8.31
三亚,20434,-0.748,-18.067
汕头,8197,0.737,-5.521
烟台,6386,-0.437,-1.739
中山,6023,0.417,-6.692
珠海,12927,0.303,1.795
吉林,5490,0.402,-14.004
金华,8642,0.127,-5.82
泉州,7789,-0.384,0.633
赣州,5659,0.071,-2.8
宜昌,5492,-0.579,-0.884
湛江,6991,-0.299,-10.037
江门,5936,0.152,-9.152
舟山,0,0,0
鞍山,5112,-0.078,-3.602
宝鸡,3982,0,-10.133
保定,5631,0.464,10.174
德州,4464,1.041,-10.774
东营,5522,-1.022,-4.99
鄂尔多斯,8647,-0.392,-6.992
邯郸,5195,-0.288,4.443
菏泽,4311,0.748,-16.712
湖州,8703,-0.866,-2.76
宿迁,4689,-0.678,-6.575
江阴,6311,-0.708,-9.403
聊城,4684,-1.431,-9.923
柳州,6883,-0.174,-5.154
马鞍山,5093,0.098,-3.978
绵阳,4899,1.031,-2.778
日照,5944,0.034,-11.495
淮安,4850,0.227,-3.998
台州,10209,-1.085,-9.567
泰州,6441,0.078,-9.307
威海,6296,0.191,-1.301
吴江,0,0,0
芜湖,5876,0.256,-3.387
湘潭,3939,-0.253,-5.267
新乡,4167,0.12,-1.93
营口,4564,0.198,-7.405
张家港,8613,-0.84,-15.509
株洲,4807,0.839,-4.471
淄博,5710,-0.747,-3.056
衡水,4900,-0.749,0.657
绍兴,8956,0.494,-8.181
常熟,9167,0.186,-5.417
盐城,5570,-0.429,-3.13
