city,上海,南京,无锡,常州,苏州,南通,扬州,镇江,泰州,杭州,宁波,嘉兴,湖州,绍兴,金华,台州,合肥,芜湖,马鞍山
上海,0,270.0339608,114.2242339,156.2885259,85.00587147,99.70032923,233.9577864,221.3718072,200.0244973,164.8929787,152.6084903,87.08924309,137.5081939,158.2055369,296.293394,285.3735567,408.5556907,289.8011034,286.1936453
南京,270.0339608,0,156.7497414,114.6990901,189.2418647,198.371172,69.01397431,61.02926912,114.9233754,236.6193117,363.8733117,236.394532,178.0577431,282.0471533,340.2209353,453.7339006,150.7107768,85.52535681,51.14636606
无锡,114.2242339,156.7497414,0,47.76139499,33.43993667,77.33177835,131.3762948,114.1639516,113.093446,135.9268237,220.2808205,92.81673694,69.62922204,163.9937206,274.9341008,331.9545715,294.8561779,179.3314647,172.5342963
常州,156.2885259,114.6990901,47.76139499,0,80.97004624,89.06350546,83.66087687,66.71806201,71.71832197,171.3617762,267.7519829,139.5143064,102.1769112,205.6856156,304.3970611,376.3676347,260.0711074,154.825168,139.9394538
苏州,85.00587147,189.2418647,33.43993667,80.97004624,0,80.84880795,164.3438365,147.5482446,142.5547613,121.1534901,188.3167831,63.62758723,65.51873914,140.8535122,262.2890432,304.0574978,323.9263089,204.8720839,201.6557042
南通,99.70032923,198.371172,77.33177835,89.06350546,80.84880795,0,147.0519421,140.6286787,105.659118,201.9903282,245.2295715,137.4742929,142.8212969,218.2569652,343.1312522,371.9602246,347.3198307,243.5476759,228.6624669
扬州,233.9577864,69.01397431,131.3762948,83.66087687,164.3438365,147.0519421,0,22.8507302,48.45836894,245.6282353,351.3482792,222.8180435,178.2254218,284.7347376,368.2188056,457.0086136,215.8781485,148.1244506,117.4525591
镇江,221.3718072,61.02926912,114.1639516,66.71806201,147.5482446,140.6286787,22.8507302,0,55.47244329,223.5326124,332.7972,203.892413,156.7019885,263.4457641,345.3699675,436.0022569,211.6253448,131.9860512,104.2034351
泰州,200.0244973,114.9233754,113.093446,71.71832197,142.5547613,105.659118,48.45836894,55.47244329,0,243.0489025,330.3736386,205.3720339,173.8637639,276.1047532,375.2606855,445.0476284,263.915473,186.6103844,159.6714596
杭州,164.8929787,236.6193117,135.9268237,171.3617762,121.1534901,201.9903282,245.6282353,223.5326124,243.0489025,0,148.8272174,77.90208427,69.18643106,48.93845838,141.1420641,217.1743965,327.9789328,203.705715,220.8831404
宁波,152.6084903,363.8733117,220.2808205,267.7519829,188.3167831,245.2295715,351.3482792,332.7972,330.3736386,148.8272174,0,128.9872103,187.0434546,102.5585407,210.3487341,134.8657219,473.422273,347.874153,359.6124487
嘉兴,87.08924309,236.394532,92.81673694,139.5143064,63.62758723,137.4742929,222.8180435,203.892413,205.3720339,77.90208427,128.9872103,0,66.05601185,81.11718906,213.5083608,240.4361141,356.4350414,231.650307,237.5022987
湖州,137.5081939,178.0577431,69.62922204,102.1769112,65.51873914,142.8212969,178.2254218,156.7019885,173.8637639,69.18643106,187.0434546,66.05601185,0,106.8297466,205.581707,279.5876386,290.8060267,165.7144448,173.2927995
绍兴,158.2055369,282.0471533,163.9937206,205.6856156,140.8535122,218.2569652,284.7347376,263.4457641,276.1047532,48.93845838,102.5585407,81.11718906,106.8297466,0,138.861464,172.8061019,376.9119722,252.581752,268.9852833
金华,296.293394,340.2209353,274.9341008,304.3970611,262.2890432,343.1312522,368.2188056,345.3699675,375.2606855,141.1420641,210.3487341,213.5083608,205.581707,138.861464,0,179.2388942,382.5685925,277.7954086,307.3484054
台州,285.3735567,453.7339006,331.9545715,376.3676347,304.0574978,371.9602246,457.0086136,436.0022569,445.0476284,217.1743965,134.8657219,240.4361141,279.5876386,172.8061019,179.2388942,0,534.6665206,415.1989626,436.2677379
合肥,408.5556907,150.7107768,294.8561779,260.0711074,323.9263089,347.3198307,215.8781485,211.6253448,263.915473,327.9789328,473.422273,356.4350414,290.8060267,376.9119722,382.5685925,534.6665206,0,125.6653916,122.3706494
芜湖,289.8011034,85.52535681,179.3314647,154.825168,204.8720839,243.5476759,148.1244506,131.9860512,186.6103844,203.705715,347.874153,231.650307,165.7144448,252.581752,277.7954086,415.1989626,125.6653916,0,35.80564071
马鞍山,286.1936453,51.14636606,172.5342963,139.9394538,201.6557042,228.6624669,117.4525591,104.2034351,159.6714596,220.8831404,359.6124487,237.5022987,173.2927995,268.9852833,307.3484054,436.2677379,122.3706494,35.80564071,0
