"names","coe_0","coe_1","coe_2","coe_3","coe_4","coe_5","coe_6","coe_7","coe_8","coe_9","coe_10","coe_11","coe_12","coe_13","coe_14","coe_15","coe_16","coe_17","coe_18"
"(Intercept)",-0.349820946696181,-0.0349472967327876,1.0221110888554,1.56941044588861,0.950828202213845,0.649520289628333,0.571871226990979,1.22297214031579,1.78486778404651,0.840225630419826,0.937521149717899,1.36536926560998,0.465862714987317,0.578194459791933,1.11598863247556,1.0484372811181,0.00863735621257067,1.55314685661752,0.509782625388866
"p.1",7.46094098374142,4.53150438359949,1.10432123907648,0,0,8.95380947989698,2.41999947900742,0,0,0.673984989765043,0,1.98892773777888,3.29701733762608,1.23095221597211,8.61809486242453,3.41666773183791,3.02772410730122,0,6.66491714734795
"p.2",0,-1.78014613206755,3.48171426459216,0,0,0,5.04197470476619,0,0,-1.702790455769,0,-0.04500349551307,0.350113986945907,1.87138225727925,0,12.8186287042043,13.4452231269034,0,0
"p.3",0,1.12345804506518,0,0,0,0,0,0,0,1.66596258269938,0,3.97928970862838,2.31099897376972,1.37901330189609,0,-3.718063614464,0,0,0
"p.4",0,-1.89692028092719,0,0,0,0,0,0,0,0,0,0,-2.23983917870636,0,0,0,0,0,0
"t.1",0,0.498334098623425,0.0764326227419746,0.0799194234255984,0.259344158594257,0.0752397431341616,-0.324312140815465,0.273730841151844,-0.120655840193022,0.485087070648454,-0.0603084829535335,0.109475760520385,0,0,0,-0.0133025464972219,0,0.206955080458408,0
"t.2",0,0.09544019440058,-0.0277445782327211,-0.0483134781393258,0.427212168296375,0,-0.165993948616599,0,-0.116605243744104,0.131384605937827,0,0,0,0,0,-0.167844406636317,0,0.21882309935499,0
"t.3",0,0,-0.0990908544042763,0.15148641326014,0,0,-0.340441566756571,0,-0.0120931397226394,0.103257848044367,0,0,0,0,0,-0.125061242041528,0,0.00024429100933455,0
"t.4",0,0,0.0564229783645091,0,0,0,-0.0966670682858961,0,-0.0931627726933763,0.0782292669999356,0,0,0,0,0,0,0,0,0
"t.p",0.038309529342462,-0.00249666309654692,-0.133503109487444,-0.193941688952896,-0.124987959547461,-0.0775300464826486,-0.0705019341660207,-0.173014645618948,-0.211839182936958,-0.0978333710124952,-0.105886996295568,-0.175931880231034,-0.0581142248559625,-0.0676634198102658,-0.125810142519454,-0.11415035049668,-0.0319078237658148,-0.192401078402668,-0.0662721572318732
"t.t0",0,-0.0669585631062472,0.0171575513895712,0.0815580044511924,-0.0412269030213176,0.0258983231852259,0.0267711339640352,-0.0162802452173154,0.118563712099476,0.00536434731999283,0.0245874189611123,0.0160791054747566,0.0131113335357562,0.0302674217488679,0.0446948954665851,0.0550135272621262,-0.17654386521417,0.055020777775912,0.0116160081685669
"t0",0,0.288730707541436,-0.0200326452124534,0.400681852044144,0.437534777136304,0,0,0.334305632980394,0,0,0,-0.0779094349014614,0,0.0661518631378725,0,0.215833415917163,0.207239170541909,0,-0.014231937802856
"t0.1",0,-0.218324423195194,0.352381734433462,0,0,0,0,0,0,0,0,0.253333670675282,0,-0.207257605673779,0,0.118790995889071,0,0,-0.252786799783495
"t0.2",0,0.112015412867594,-0.0253174359400642,0,0,0,0,0,0,0,0,0,0,0,0,0.0601045754543291,0,0,0
"t0.3",0,0.0645254022971184,-0.178321762846762,0,0,0,0,0,0,0,0,0,0,0,0,-0.314562207758457,0,0,0
"t0.4",0,-0.0394300862515392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
