"resid_0","resid_1","resid_2","resid_3","resid_4","resid_5","resid_6","resid_7","resid_8","resid_9","resid_10","resid_11","resid_12","resid_13","resid_14","resid_15","resid_16","resid_17","resid_18"
8.88575022134441e-05,-1.81931784938974e-07,1.33125770954637e-06,-5.61099111350433e-06,-4.45848688873936e-06,5.261262534883e-07,-3.6001021552568e-06,-5.87539624049221e-06,9.75885293768558e-06,9.74103788321241e-06,2.06802786995909e-05,-3.6337506302106e-07,5.93046329915514e-06,2.79551965960629e-06,-1.45693370136294e-06,3.63625022798725e-07,-4.60913946146487e-07,2.71413545927123e-06,-3.34568111640602e-06
-1.81931784938974e-07,2.46768731904647e-05,-7.34209049277267e-06,-3.11960790907517e-06,2.14294413998509e-05,-1.44591548535499e-06,-1.89035489511164e-06,-5.47869207424049e-07,-3.46822240744903e-06,-1.1888370311544e-06,9.34603495015545e-06,6.37070781766734e-06,1.43571399911665e-06,-4.92921870759543e-06,-6.25112155332852e-06,6.12813999243683e-06,2.3513524392015e-07,6.5771500996593e-06,-1.36956140876284e-05
1.33125770954637e-06,-7.34209049277267e-06,7.50190631718598e-05,5.78279175708203e-07,8.96129798377137e-06,1.77795799008053e-05,1.07510399486989e-05,1.33225480037512e-06,-1.24239662661422e-05,1.1738492741442e-05,-8.80705209638098e-06,1.45512078466698e-05,-8.51714369116662e-06,4.06885350522626e-06,2.70533341720425e-05,1.23203061374405e-05,1.50349412998765e-05,1.23536380575281e-05,3.34396645126546e-05
-5.61099111350433e-06,-3.11960790907517e-06,5.78279175708203e-07,5.27826175033532e-05,1.19678750998366e-05,3.02110986097986e-06,1.64942152008448e-05,9.14792325668897e-06,-1.04413942902259e-05,7.7388865179711e-06,-3.10392853950352e-06,2.97823473930764e-06,5.95671780393937e-06,9.39220833744802e-06,-6.9315644091187e-06,-3.82904448921447e-07,-5.98620107911367e-06,-1.08771312233798e-06,-1.05728157810153e-05
-4.45848688873936e-06,2.14294413998509e-05,8.96129798377137e-06,1.19678750998366e-05,0.000161015670898133,-1.72458594117935e-06,-2.73361415101983e-06,3.93507565535525e-06,-2.67061137376748e-06,1.75684769510259e-05,1.35833543302003e-05,6.31320266655788e-06,2.36774226050309e-05,2.64196999177652e-05,-1.3842406624435e-05,1.36514799758462e-05,2.11734500517853e-05,1.49687010463999e-05,1.14090205966408e-05
5.261262534883e-07,-1.44591548535499e-06,1.77795799008053e-05,3.02110986097986e-06,-1.72458594117935e-06,0.000128273735865666,4.56387818895248e-06,1.28898905136451e-06,-1.11811875563633e-06,7.34508558508803e-06,7.36047716159147e-06,1.27809698207762e-05,1.00167153938905e-06,1.26381178746549e-05,2.87570179078602e-05,-7.19433008550354e-06,1.38435323607278e-05,1.45991716143139e-05,1.05757515938864e-05
-3.6001021552568e-06,-1.89035489511164e-06,1.07510399486989e-05,1.64942152008448e-05,-2.73361415101983e-06,4.56387818895248e-06,6.63521385467502e-05,-1.939848974391e-06,-8.24206199840363e-06,1.17116270760484e-05,-5.01225302218564e-06,1.40079859686362e-05,-3.17577617064761e-07,7.77558986261642e-06,6.35057323580959e-07,8.21409918107034e-06,-2.93514199672956e-06,3.52597222592682e-06,4.02894545077745e-06
-5.87539624049221e-06,-5.47869207424049e-07,1.33225480037512e-06,9.14792325668897e-06,3.93507565535525e-06,1.28898905136451e-06,-1.939848974391e-06,5.84470586684782e-05,-1.47516320434378e-05,3.90542644128012e-07,6.61602241535848e-06,-1.46936071487027e-06,-2.64362168158463e-06,-3.49005483604965e-06,2.00810621625465e-05,3.11617870650402e-06,1.1077533918552e-05,4.83420489261041e-06,-1.32387645475319e-05
9.75885293768558e-06,-3.46822240744903e-06,-1.24239662661422e-05,-1.04413942902259e-05,-2.67061137376748e-06,-1.11811875563633e-06,-8.24206199840363e-06,-1.47516320434378e-05,0.000115325220068208,9.02486434026824e-06,5.80767650784318e-06,-1.31910348149888e-05,7.87502873610938e-06,-5.70271288389282e-06,-2.59993224497376e-05,5.49735870069196e-06,1.55341265338175e-05,1.35323136370763e-05,3.2022778949327e-06
9.74103788321241e-06,-1.1888370311544e-06,1.1738492741442e-05,7.7388865179711e-06,1.75684769510259e-05,7.34508558508803e-06,1.17116270760484e-05,3.90542644128012e-07,9.02486434026824e-06,4.23207259590395e-05,1.44809472648817e-06,2.50281196101065e-06,6.3607965884911e-06,2.84629067460177e-06,-3.70184767732812e-06,-1.43938231697215e-07,2.24929245362092e-06,1.26089049638192e-06,-1.07677074300734e-06
2.06802786995909e-05,9.34603495015545e-06,-8.80705209638098e-06,-3.10392853950352e-06,1.35833543302003e-05,7.36047716159147e-06,-5.01225302218564e-06,6.61602241535848e-06,5.80767650784318e-06,1.44809472648817e-06,5.47584422362119e-05,2.69987389011052e-07,-1.56390588915041e-06,4.34481962053624e-06,-2.53655764147554e-05,-1.02779192338114e-05,-3.88605924570082e-06,-3.03906333699593e-06,-3.25871297589576e-06
-3.6337506302106e-07,6.37070781766734e-06,1.45512078466698e-05,2.97823473930764e-06,6.31320266655788e-06,1.27809698207762e-05,1.40079859686362e-05,-1.46936071487027e-06,-1.31910348149888e-05,2.50281196101065e-06,2.69987389011052e-07,5.09251723265377e-05,7.020007573178e-06,-5.68167891164356e-06,1.68687425845865e-05,7.41941680772511e-06,9.26404486632655e-06,2.78002940120366e-05,8.38248591247184e-06
5.93046329915514e-06,1.43571399911665e-06,-8.51714369116662e-06,5.95671780393937e-06,2.36774226050309e-05,1.00167153938905e-06,-3.17577617064761e-07,-2.64362168158463e-06,7.87502873610938e-06,6.3607965884911e-06,-1.56390588915041e-06,7.020007573178e-06,0.000106092874335208,2.44552311498915e-05,3.56200030655159e-06,2.06156302754907e-06,1.40494538615208e-05,3.03557822652662e-05,1.10300499185296e-05
2.79551965960629e-06,-4.92921870759543e-06,4.06885350522626e-06,9.39220833744802e-06,2.64196999177652e-05,1.26381178746549e-05,7.77558986261642e-06,-3.49005483604965e-06,-5.70271288389282e-06,2.84629067460177e-06,4.34481962053624e-06,-5.68167891164356e-06,2.44552311498915e-05,8.41100257842167e-05,-1.64428821078207e-05,3.79714923742316e-05,1.30916738776214e-05,-6.61545787738511e-06,3.77754480765094e-05
-1.45693370136294e-06,-6.25112155332852e-06,2.70533341720425e-05,-6.9315644091187e-06,-1.3842406624435e-05,2.87570179078602e-05,6.35057323580959e-07,2.00810621625465e-05,-2.59993224497376e-05,-3.70184767732812e-06,-2.53655764147554e-05,1.68687425845865e-05,3.56200030655159e-06,-1.64428821078207e-05,0.00016317518296239,3.02275922096548e-06,1.27201412681945e-05,3.35273225948784e-05,6.17997997219319e-06
3.63625022798725e-07,6.12813999243683e-06,1.23203061374405e-05,-3.82904448921447e-07,1.36514799758462e-05,-7.19433008550354e-06,8.21409918107034e-06,3.11617870650402e-06,5.49735870069196e-06,-1.43938231697215e-07,-1.02779192338114e-05,7.41941680772511e-06,2.06156302754907e-06,3.79714923742316e-05,3.02275922096548e-06,0.000105563302802542,4.90181949217665e-05,8.6968919676244e-06,6.62258797185069e-09
-4.60913946146487e-07,2.3513524392015e-07,1.50349412998765e-05,-5.98620107911367e-06,2.11734500517853e-05,1.38435323607278e-05,-2.93514199672956e-06,1.1077533918552e-05,1.55341265338175e-05,2.24929245362092e-06,-3.88605924570082e-06,9.26404486632655e-06,1.40494538615208e-05,1.30916738776214e-05,1.27201412681945e-05,4.90181949217665e-05,8.21560602371556e-05,2.06794317545966e-05,4.43250178919959e-06
2.71413545927123e-06,6.5771500996593e-06,1.23536380575281e-05,-1.08771312233798e-06,1.49687010463999e-05,1.45991716143139e-05,3.52597222592682e-06,4.83420489261041e-06,1.35323136370763e-05,1.26089049638192e-06,-3.03906333699593e-06,2.78002940120366e-05,3.03557822652662e-05,-6.61545787738511e-06,3.35273225948784e-05,8.6968919676244e-06,2.06794317545966e-05,0.000110690137580586,8.89324598390208e-06
-3.34568111640602e-06,-1.36956140876284e-05,3.34396645126546e-05,-1.05728157810153e-05,1.14090205966408e-05,1.05757515938864e-05,4.02894545077745e-06,-1.32387645475319e-05,3.2022778949327e-06,-1.07677074300734e-06,-3.25871297589576e-06,8.38248591247184e-06,1.10300499185296e-05,3.77754480765094e-05,6.17997997219319e-06,6.62258797185069e-09,4.43250178919959e-06,8.89324598390208e-06,0.00010843979648569
