t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p
1891.0,82.0,127.0,792.0,499.0,9.48344772,2.024432468,2.908415766,1.839191779,36140.0544472
82.0,127.0,792.0,499.0,193.0,2.024432468,2.908415766,1.839191779,-2.744773605,36067.5378949
127.0,792.0,499.0,193.0,46.0,2.908415766,1.839191779,-2.744773605,0.320231573,35942.5623274
792.0,499.0,193.0,46.0,1287.0,1.839191779,-2.744773605,0.320231573,1.454644876,35153.4707431
499.0,193.0,46.0,1287.0,391.0,-2.744773605,0.320231573,1.454644876,-2.04357452,34656.3099349
193.0,46.0,1287.0,391.0,464.0,0.320231573,1.454644876,-2.04357452,1.847369016,34460.5651613
46.0,1287.0,391.0,464.0,754.0,1.454644876,-2.04357452,1.847369016,-3.521061884,34414.8853929
1287.0,391.0,464.0,754.0,83.0,-2.04357452,1.847369016,-3.521061884,-4.559802464,33129.3400378
391.0,464.0,754.0,83.0,131.0,1.847369016,-3.521061884,-4.559802464,-0.78965451,32736.2964632
464.0,754.0,83.0,131.0,17.0,-3.521061884,-4.559802464,-0.78965451,-2.633872425,32274.1438323
754.0,83.0,131.0,17.0,249.0,-4.559802464,-0.78965451,-2.633872425,-0.21275949,31516.6227704
83.0,131.0,17.0,249.0,-111.0,-0.78965451,-2.633872425,-0.21275949,-3.2071345,31429.0629679
131.0,17.0,249.0,-111.0,374.0,-2.633872425,-0.21275949,-3.2071345,-9.39606945,31297.2733134
17.0,249.0,-111.0,374.0,-93.0,-0.21275949,-3.2071345,-9.39606945,-8.22794469,31277.639441
249.0,-111.0,374.0,-93.0,-356.0,-3.2071345,-9.39606945,-8.22794469,-10.35845361,31028.4266815
-111.0,374.0,-93.0,-356.0,-107.0,-9.39606945,-8.22794469,-10.35845361,-8.92529901,31136.219547
374.0,-93.0,-356.0,-107.0,-147.0,-8.22794469,-10.35845361,-8.92529901,-9.25655506,30752.8234775
-93.0,-356.0,-107.0,-147.0,81.0,-10.35845361,-8.92529901,-9.25655506,-4.56805541,30837.5955328
-356.0,-107.0,-147.0,81.0,-139.0,-8.92529901,-9.25655506,-4.56805541,-7.9327002,31183.2370792
-107.0,-147.0,81.0,-139.0,188.0,-9.25655506,-4.56805541,-7.9327002,-5.36664497,31281.3117802
-147.0,81.0,-139.0,188.0,317.0,-4.56805541,-7.9327002,-5.36664497,0.27151667,31419.0552252
81.0,-139.0,188.0,317.0,352.0,-7.9327002,-5.36664497,0.27151667,-7.36788489,31333.4871697
-139.0,188.0,317.0,352.0,410.0,-5.36664497,0.27151667,-7.36788489,-1.98850005,31464.5544695
188.0,317.0,352.0,410.0,716.0,0.27151667,-7.36788489,-1.98850005,0.74040613,31271.1878246
317.0,352.0,410.0,716.0,549.0,-7.36788489,-1.98850005,0.74040613,4.26803452,30954.4593412
352.0,410.0,716.0,549.0,689.0,-1.98850005,0.74040613,4.26803452,3.36617717,30595.0914564
410.0,716.0,549.0,689.0,327.0,0.74040613,4.26803452,3.36617717,1.29216703,30183.1029563
716.0,549.0,689.0,327.0,307.0,4.26803452,3.36617717,1.29216703,0.73892157,29467.8433624
549.0,689.0,327.0,307.0,243.0,3.36617717,1.29216703,0.73892157,-0.2423259,28923.111397
689.0,327.0,307.0,243.0,164.0,1.29216703,0.73892157,-0.2423259,4.04665546,28237.4775741
327.0,307.0,243.0,164.0,65.0,0.73892157,-0.2423259,4.04665546,10.19266799,27911.7697412
307.0,243.0,164.0,65.0,53.0,-0.2423259,4.04665546,10.19266799,9.35452691,27605.5086627
243.0,164.0,65.0,53.0,125.0,4.04665546,10.19266799,9.35452691,9.2190145,27362.2663368
164.0,65.0,53.0,125.0,367.0,10.19266799,9.35452691,9.2190145,6.81089829,27202.3129923
65.0,53.0,125.0,367.0,621.0,9.35452691,9.2190145,6.81089829,3.09085486,27147.5056603
53.0,125.0,367.0,621.0,83.0,9.2190145,6.81089829,3.09085486,2.0050723,27103.8601872
125.0,367.0,621.0,83.0,18.0,6.81089829,3.09085486,2.0050723,-2.27791754,26988.0792017
367.0,621.0,83.0,18.0,9.0,3.09085486,2.0050723,-2.27791754,0.17597266,26627.8901
621.0,83.0,18.0,9.0,19.0,2.0050723,-2.27791754,0.17597266,2.64210995,26009.9809548
83.0,18.0,9.0,19.0,52.0,-2.27791754,0.17597266,2.64210995,1.55975,25928.9860271
18.0,9.0,19.0,52.0,9.0,0.17597266,2.64210995,1.55975,9.8662287,25908.7081096
9.0,19.0,52.0,9.0,174.0,2.64210995,1.55975,9.8662287,-4.25363274,25899.8840823
19.0,52.0,9.0,174.0,-259.0,1.55975,9.8662287,-4.25363274,-8.86178437,25883.5261922
52.0,9.0,174.0,-259.0,-175.0,9.8662287,-4.25363274,-8.86178437,-4.83791868,25833.0859422
9.0,174.0,-259.0,-175.0,-65.0,-4.25363274,-8.86178437,-4.83791868,-5.36003991,25833.9521709
174.0,-259.0,-175.0,-65.0,-18.0,-8.86178437,-4.83791868,-5.36003991,-7.12507253,25655.6985382
-259.0,-175.0,-65.0,-18.0,-23.0,-4.83791868,-5.36003991,-7.12507253,-1.10993931,25905.8367538
-175.0,-65.0,-18.0,-23.0,-115.0,-5.36003991,-7.12507253,-1.10993931,-5.48129658,26075.9988351
-65.0,-18.0,-23.0,-115.0,-129.0,-7.12507253,-1.10993931,-5.48129658,-10.56868972,26135.6387952
-18.0,-23.0,-115.0,-129.0,-122.0,-1.10993931,-5.48129658,-10.56868972,-6.64138442,26146.5137227
-23.0,-115.0,-129.0,-122.0,-63.0,-5.48129658,-10.56868972,-6.64138442,-2.25328399,26168.4037834
-115.0,-129.0,-122.0,-63.0,-35.0,-10.56868972,-6.64138442,-2.25328399,-2.4769224,26277.9224868
-129.0,-122.0,-63.0,-35.0,328.0,-6.64138442,-2.25328399,-2.4769224,-2.02472658,26396.3537971
-122.0,-63.0,-35.0,328.0,260.0,-2.25328399,-2.4769224,-2.02472658,3.28551702,26511.7124126
-63.0,-35.0,328.0,260.0,409.0,-2.4769224,-2.02472658,3.28551702,-0.7430688,26572.4591287
-35.0,328.0,260.0,409.0,471.0,-2.02472658,3.28551702,-0.7430688,2.31400299,26604.9822063
328.0,260.0,409.0,471.0,-5.0,3.28551702,-0.7430688,2.31400299,10.7945725,26274.9574797
260.0,409.0,471.0,-5.0,341.0,-0.7430688,2.31400299,10.7945725,9.7190954,26018.2429967
409.0,471.0,-5.0,341.0,493.0,2.31400299,10.7945725,9.7190954,15.86252535,25608.4999279
471.0,-5.0,341.0,493.0,-30.0,10.7945725,9.7190954,15.86252535,12.11795413,25139.8139309
-5.0,341.0,493.0,-30.0,336.0,9.7190954,15.86252535,12.11795413,10.66398231,25155.6085034
341.0,493.0,-30.0,336.0,424.0,15.86252535,12.11795413,10.66398231,8.51280598,24824.3275988
493.0,-30.0,336.0,424.0,379.0,12.11795413,10.66398231,8.51280598,5.558435811,24347.1901241
-30.0,336.0,424.0,379.0,-891.0,10.66398231,8.51280598,5.558435811,8.53010851,24389.3080783
336.0,424.0,379.0,-891.0,-318.0,8.51280598,5.558435811,8.53010851,-6.188108953,24063.9720606
