t,t-1,t-2,t-3,t-4,p-1,p-2,p-3,p-4,t-p,t-t0,t0,t0-1,t0-2,t0-3,t0-4
131.0,-50.0,-27.0,14.0,-16.0,7.08810691,3.2280224,3.33170029,1.1036809,4804.22351832,-30710,1891.0,82.0,127.0,792.0,499.0
-50.0,-27.0,14.0,-16.0,-55.0,3.2280224,3.33170029,1.1036809,-0.29325651,4861.31162523,-30578,82.0,127.0,792.0,499.0,193.0
-27.0,14.0,-16.0,-55.0,-8.0,3.33170029,1.1036809,-0.29325651,1.1054746,4891.53964763,-30424,127.0,792.0,499.0,193.0,46.0
14.0,-16.0,-55.0,-8.0,20.0,1.1036809,-0.29325651,1.1054746,7.20809034,4880.87134792,-29646,792.0,499.0,193.0,46.0,1287.0
-16.0,-55.0,-8.0,20.0,-35.0,-0.29325651,1.1054746,7.20809034,2.12652372,4897.97502882,-29131,499.0,193.0,46.0,1287.0,391.0
-55.0,-8.0,20.0,-35.0,16.0,1.1054746,7.20809034,2.12652372,0.99623582,4952.68177231,-28883,193.0,46.0,1287.0,391.0,464.0
-8.0,20.0,-35.0,16.0,76.0,7.20809034,2.12652372,0.99623582,-0.15571981,4961.78724691,-28829,46.0,1287.0,391.0,464.0,754.0
20.0,-35.0,16.0,76.0,-80.0,2.12652372,0.99623582,-0.15571981,-3.11255743,4948.99533725,-27562,1287.0,391.0,464.0,754.0,83.0
-35.0,16.0,76.0,-80.0,19.0,0.99623582,-0.15571981,-3.11255743,-0.14694665,4986.12186097,-27136,391.0,464.0,754.0,83.0,131.0
16.0,76.0,-80.0,19.0,27.0,-0.15571981,-3.11255743,-0.14694665,-4.64881056,4971.11809679,-26688,464.0,754.0,83.0,131.0,17.0
76.0,-80.0,19.0,27.0,47.0,-3.11255743,-0.14694665,-4.64881056,4.31341063,4894.96237698,-26010,754.0,83.0,131.0,17.0,249.0
-80.0,19.0,27.0,47.0,-32.0,-0.14694665,-4.64881056,4.31341063,-10.22085476,4971.84981955,-25847,83.0,131.0,17.0,249.0,-111.0
19.0,27.0,47.0,-32.0,-47.0,-4.64881056,4.31341063,-10.22085476,-6.03894437,4952.7028729,-25735,131.0,17.0,249.0,-111.0,374.0
27.0,47.0,-32.0,-47.0,-11.0,4.31341063,-10.22085476,-6.03894437,-11.8922045,4921.05406234,-25745,17.0,249.0,-111.0,374.0,-93.0
47.0,-32.0,-47.0,-11.0,13.0,-10.22085476,-6.03894437,-11.8922045,-16.80052996,4878.36747297,-25543,249.0,-111.0,374.0,-93.0,-356.0
-32.0,-47.0,-11.0,13.0,-5.0,-6.03894437,-11.8922045,-16.80052996,-8.34719723,4900.14661821,-25622,-111.0,374.0,-93.0,-356.0,-107.0
-47.0,-11.0,13.0,-5.0,46.0,-11.8922045,-16.80052996,-8.34719723,-12.43994093,4941.10767384,-25201,374.0,-93.0,-356.0,-107.0,-147.0
-11.0,13.0,-5.0,46.0,-24.0,-16.80052996,-8.34719723,-12.43994093,-14.60569302,4940.21546934,-25283,-93.0,-356.0,-107.0,-147.0,81.0
13.0,-5.0,46.0,-24.0,-0.0,-8.34719723,-12.43994093,-14.60569302,-6.34037069,4910.41493938,-25652,-356.0,-107.0,-147.0,81.0,-139.0
-5.0,46.0,-24.0,-0.0,3.0,-12.43994093,-14.60569302,-6.34037069,-3.19475166,4907.06774215,-25754,-107.0,-147.0,81.0,-139.0,188.0
46.0,-24.0,-0.0,3.0,-102.0,-14.60569302,-6.34037069,-3.19475166,7.55133166,4848.62780122,-25947,-147.0,81.0,-139.0,188.0,317.0
-24.0,-0.0,3.0,-102.0,23.0,-6.34037069,-3.19475166,7.55133166,-14.10557903,4858.0221082,-25842,81.0,-139.0,188.0,317.0,352.0
-0.0,3.0,-102.0,23.0,23.0,-3.19475166,7.55133166,-14.10557903,4.57656298,4851.68173751,-25981,-139.0,188.0,317.0,352.0,410.0
