names,coe_0,coe_1,coe_2,coe_3,coe_4,coe_5,coe_6,coe_7,coe_8,coe_9,coe_10,coe_11,coe_12,coe_13,coe_14,coe_15,coe_16,coe_17,coe_18
(Intercept),-1145.48181,-49.72041219,499.9509298,1266.41524,1221.307957,973.0346938,1093.746023,756.9388632,1033.115098,1480.991659,1723.856048,1161.544409,511.3947219,715.5329473,1131.122446,1655.043125,82.60146311,1149.521855,534.2937958
p.1,25.94164445,9.094815119,1.17691639,2.041036774,0,3.655000628,4.775239959,1.348065498,0,0,0.946106188,2.805805385,2.989908558,2.083050682,7.159130177,10.95738686,4.281877091,6.120767215,2.671605354
p.2,0,-4.392832695,1.346346797,0,0,6.185670252,0,0,0,0,-3.533057412,0.202780587,0,0,0,0,10.92889161,0,0
p.3,0,0,4.222504467,0,0,0,0,0,0,0,7.270103177,2.166391204,0,0,0,0,0,0,0
p.4,0,0,-2.123192129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t.1,0,0.516348634,0,0,0.266224864,0,-0.355993954,0.22068755,-0.129869032,0.351137785,0,0,0,0,-0.211392431,0,0,0,-0.081722696
t.2,0,0,0,0,0.433092499,0,-0.220456889,0,0,0,0,0,0,0,0.268613514,0,0,0,-0.013502618
t.3,0,0,0,0,0,0,-0.334968155,0,0,0,0,0,0,0,0,0,0,0,0.280492006
t.p,0.047105345,-0.035388037,-0.074383228,-0.128710325,-0.142083478,-0.088659403,-0.09728908,-0.171281038,-0.102199809,-0.08663971,-0.127500796,-0.170841151,-0.057795816,-0.058613748,-0.09961413,-0.120512156,-0.157369189,-0.170052832,-0.08859265
t.t0,0,-0.028232793,-0.000129431,0.021886192,-0.01409601,0.015226904,0.018300156,-0.00249291,0.020987913,0.015797831,0.014245141,0.006966228,0.004842186,0.012822367,0.014779959,0.023236327,-0.041090839,0.01364915,0.006982815
t0,0,0.123086995,-0.003959477,0.081518684,0.179692171,0,-0.009246629,0.051902418,0,0.094328372,0.063412715,0,0,0,0,0,0.047066841,0,0
t0.1,0,-0.13056642,0.091328781,0,0,0,-0.008715116,0,0,0.142277203,0,0,0,0,0,0,-0.019120313,0,0
t0.2,0,0.075961121,-0.013777959,0,0,0,0.100475109,0,0,0.097315074,0,0,0,0,0,0,-0.072708917,0,0
t0.3,0,0,-0.091386817,0,0,0,0.067285051,0,0,0,0,0,0,0,0,0,0,0,0
t0.4,0,0,-0.06011385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
