,resid_0,resid_1,resid_2,resid_3,resid_4,resid_5,resid_6,resid_7,resid_8,resid_9,resid_10,resid_11,resid_12,resid_13,resid_14,resid_15,resid_16,resid_17,resid_18
resid_0,91950.7675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resid_1,0,4697.077784,-671.3320353,-688.9933527,3589.89171,-275.0650376,-384.0526072,-265.2924547,-191.4257904,19.61525991,1459.248724,751.4166237,457.7652582,-586.793704,-1454.944161,535.8401491,-59.75071935,566.0403272,-988.9176295
resid_2,0,-671.3320353,5138.648795,95.9517245,633.0478824,1137.64408,1177.269775,-144.7855927,-288.1373029,680.3182523,-687.896324,1040.174023,-787.9696774,337.685605,1179.249393,1701.19759,632.3851776,621.376807,1359.889261
resid_3,0,-688.9933527,95.9517245,3095.798407,211.6547017,597.1684909,825.5548862,262.524151,-642.2384951,502.4104301,-553.5631252,65.91726943,303.2581359,679.0856397,-127.7142605,-373.093585,-273.5241376,-303.7596442,-416.5908323
resid_4,0,3589.89171,633.0478824,211.6547017,24454.80533,316.6858105,-561.1704863,171.3321198,127.4609896,5023.80771,1736.030782,419.6461836,2868.678607,3385.805102,-821.6721853,775.9786707,1845.771503,681.715084,1078.891382
resid_5,0,-275.0650376,1137.64408,597.1684909,316.6858105,11241.70512,597.7687245,345.7289751,102.8967735,1375.242744,406.5222252,846.9631772,262.350879,777.3235233,1803.90109,-1036.183242,1418.809014,1191.964662,651.1625808
resid_6,0,-384.0526072,1177.269775,825.5548862,-561.1704863,597.7687245,4894.214312,126.8370873,-924.1542772,737.916495,-603.3364177,911.5339643,-277.7091796,186.5535448,-564.5523809,1155.425116,89.91310043,385.9520571,245.0144412
resid_7,0,-265.2924547,-144.7855927,262.524151,171.3321198,345.7289751,126.8370873,2234.381847,-620.3952618,159.7272097,410.7039939,-1.774522396,7.64230224,-97.64844183,1163.241467,188.5216312,393.1456067,209.7411086,-413.411301
resid_8,0,-191.4257904,-288.1373029,-642.2384951,127.4609896,102.8967735,-924.1542772,-620.3952618,5364.702169,707.213909,235.2039151,-629.2120309,114.1281137,-686.5122211,-1534.666505,63.00539201,573.7693209,276.9267612,148.4316307
resid_9,0,19.61525991,680.3182523,502.4104301,5023.80771,1375.242744,737.916495,159.7272097,707.213909,10801.6411,834.6135584,331.4936827,-129.4939913,549.1954773,-629.0926098,123.8031518,401.5018548,-59.14093271,-210.3103263
resid_10,0,1459.248724,-687.896324,-553.5631252,1736.030782,406.5222252,-603.3364177,410.7039939,235.2039151,834.6135584,7278.572553,146.2332425,-130.1647136,436.5966709,-2172.628237,-907.9542415,-465.1497492,-663.2724872,-317.3087351
resid_11,0,751.4166237,1040.174023,65.91726943,419.6461836,846.9631772,911.5339643,-1.774522396,-629.2120309,331.4936827,146.2332425,3067.333908,475.6906812,-809.5614898,439.1905475,734.6499785,588.6464726,1219.176782,334.0529882
resid_12,0,457.7652582,-787.9696774,303.2581359,2868.678607,262.350879,-277.7091796,7.64230224,114.1281137,-129.4939913,-130.1647136,475.6906812,8056.693512,1729.324967,126.5905099,-496.4305079,795.5348062,1531.612837,479.6912758
resid_13,0,-586.793704,337.685605,679.0856397,3385.805102,777.3235233,186.5535448,-97.64844183,-686.5122211,549.1954773,436.5966709,-809.5614898,1729.324967,8115.682993,-1028.810211,3825.908092,960.4239454,-429.3264637,1606.749355
resid_14,0,-1454.944161,1179.249393,-127.7142605,-821.6721853,1803.90109,-564.5523809,1163.241467,-1534.666505,-629.0926098,-2172.628237,439.1905475,126.5905099,-1028.810211,11782.48503,-313.7762852,327.5788412,1029.23448,759.740862
resid_15,0,535.8401491,1701.19759,-373.093585,775.9786707,-1036.183242,1155.425116,188.5216312,63.00539201,123.8031518,-907.9542415,734.6499785,-496.4305079,3825.908092,-313.7762852,14345.93141,3957.961363,757.5143036,-9.754467294
resid_16,0,-59.75071935,632.3851776,-273.5241376,1845.771503,1418.809014,89.91310043,393.1456067,573.7693209,401.5018548,-465.1497492,588.6464726,795.5348062,960.4239454,327.5788412,3957.961363,3771.172497,922.7122714,318.1365566
resid_17,0,566.0403272,621.376807,-303.7596442,681.715084,1191.964662,385.9520571,209.7411086,276.9267612,-59.14093271,-663.2724872,1219.176782,1531.612837,-429.3264637,1029.23448,757.5143036,922.7122714,3511.176008,301.2283177
resid_18,0,-988.9176295,1359.889261,-416.5908323,1078.891382,651.1625808,245.0144412,-413.411301,148.4316307,-210.3103263,-317.3087351,334.0529882,479.6912758,1606.749355,759.740862,-9.754467294,318.1365566,301.2283177,3162.242808
